Header Size:	 78	 
Pulse Version:	 42	 
Decimal Symbol:	,	 
Date Format:	dd-MM-yyyy	 
Time Format:	HH:mm:ss:mmm	 
Data Type:	Real	 
Slice:	False	 
Z-Axis type:	Linear	 
Z-Axis size:	1	 
Z-Axis unit:	 	 
Z-Axis first value:	  0,0000000000e+00	 
Z-Axis delta:	  1,0000000000e+00	 
X-Axis type:	Linear	 
X-Axis size:	6401	 
X-Axis unit:	Hz	 
X-Axis first value:	  0,0000000000e+00	 
X-Axis delta:	  2,0000000000e+00	 
	 	 
AmplitudeUnit:	Pa	 
Analyzer:	FFT_Spectrum_Averaging	 
AnalyzerName:	FFT Analyzer1	 
	 	 
	 	 
Bipolar:	False	 
CenterFrequency:	  6,4000000000e+03	 
	 	 
	 	 
	 	 
	 	 
dBReference:	  4,0000000000e-10	 
	 	 
	 	 
	 	 
Domain:	1	 
Function:	Autospectrum	 
	 	 
InputRange:	  8,6131795538e+02	 
	 	 
	 	 
MultiBufferName:	Input	 
NBW:	  1,5000000000e+00	 
	 	 
OverlapFailed:	False	 
Overrun:	False	 
Power:	True	 
PowerUnit:	Pa²	 
	 	 
RecordLength:	  5,0000000000e-01	 
ReducedSize:	True	 
	 	 
	 	 
	 	 
	 	 
	 	 
SamplingRatio:	  1,2800000000e+00	 
Signal:	Signal 5	 
	 	 
SignalUnit:	Pa	 
	 	 
	 	 
	 	 
Title:	Autospectrum(Signal 5) - Input	 
Title1:	Working : Input : Input : FFT Analyzer1	 
	 	 
	 	 
Weight:	0	 
ZoomOn:	True	 
	 	 
TemplateName:	Working	 
MeasurementName:	Input	 
MeasurementSlice:	False	 
	 	 
DeltaFrequency:	  2,0000000000e+00	 
	 	 
EnvelopeOn:	False	 
	 	 
	 	 
	 	 
Z-index:	 	1
Date:	 	14-07-2026
Time:	 	17:50:37:961
Relative time:	 	  0,00000e+00
Z-axis:	 	  0,0000000000e+00
1	  0,0000000000e+00	  2,03827e-10
2	  2,0000000000e+00	  1,23793e-09
3	  4,0000000000e+00	  1,82027e-09
4	  6,0000000000e+00	  3,51656e-09
5	  8,0000000000e+00	  1,81630e-08
6	  1,0000000000e+01	  1,07603e-07
7	  1,2000000000e+01	  9,72363e-08
8	  1,4000000000e+01	  5,32554e-08
9	  1,6000000000e+01	  4,32337e-08
10	  1,8000000000e+01	  3,87663e-08
11	  2,0000000000e+01	  6,37144e-08
12	  2,2000000000e+01	  6,97702e-08
13	  2,4000000000e+01	  4,05398e-08
14	  2,6000000000e+01	  4,04995e-08
15	  2,8000000000e+01	  4,40716e-08
16	  3,0000000000e+01	  4,57542e-08
17	  3,2000000000e+01	  4,62999e-08
18	  3,4000000000e+01	  4,33596e-08
19	  3,6000000000e+01	  4,48574e-08
20	  3,8000000000e+01	  4,41962e-08
21	  4,0000000000e+01	  4,63676e-08
22	  4,2000000000e+01	  4,82151e-08
23	  4,4000000000e+01	  5,25788e-08
24	  4,6000000000e+01	  5,99119e-08
25	  4,8000000000e+01	  7,75928e-08
26	  5,0000000000e+01	  1,34149e-07
27	  5,2000000000e+01	  9,01186e-08
28	  5,4000000000e+01	  9,50901e-08
29	  5,6000000000e+01	  9,61717e-08
30	  5,8000000000e+01	  1,24165e-07
31	  6,0000000000e+01	  1,51606e-07
32	  6,2000000000e+01	  1,73095e-07
33	  6,4000000000e+01	  1,96151e-07
34	  6,6000000000e+01	  2,24405e-07
35	  6,8000000000e+01	  2,90697e-07
36	  7,0000000000e+01	  3,22339e-07
37	  7,2000000000e+01	  3,05877e-07
38	  7,4000000000e+01	  3,66889e-07
39	  7,6000000000e+01	  4,54188e-07
40	  7,8000000000e+01	  4,56179e-07
41	  8,0000000000e+01	  5,64673e-07
42	  8,2000000000e+01	  6,63902e-07
43	  8,4000000000e+01	  7,22667e-07
44	  8,6000000000e+01	  8,16312e-07
45	  8,8000000000e+01	  9,86165e-07
46	  9,0000000000e+01	  1,11886e-06
47	  9,2000000000e+01	  1,18627e-06
48	  9,4000000000e+01	  1,13749e-06
49	  9,6000000000e+01	  1,26545e-06
50	  9,8000000000e+01	  1,42726e-06
51	  1,0000000000e+02	  1,64326e-06
52	  1,0200000000e+02	  1,88843e-06
53	  1,0400000000e+02	  2,08128e-06
54	  1,0600000000e+02	  2,17218e-06
55	  1,0800000000e+02	  2,79171e-06
56	  1,1000000000e+02	  3,26476e-06
57	  1,1200000000e+02	  3,02899e-06
58	  1,1400000000e+02	  3,16398e-06
59	  1,1600000000e+02	  3,13397e-06
60	  1,1800000000e+02	  3,46082e-06
61	  1,2000000000e+02	  4,18562e-06
62	  1,2200000000e+02	  3,97225e-06
63	  1,2400000000e+02	  4,46519e-06
64	  1,2600000000e+02	  4,93811e-06
65	  1,2800000000e+02	  5,27522e-06
66	  1,3000000000e+02	  5,71263e-06
67	  1,3200000000e+02	  5,67235e-06
